"animal_type","month","year","intake_type","outcome_type","chip_status","time_at_shelter"
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"CAT",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",9,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",22
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",5
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",5
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"CAT",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",14
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",3,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",12,2016,"CONFISCATED","ADOPTION","SCAN NO CHIP",14
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",4
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN CHIP",10
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",29
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN CHIP",0
"DOG",3,2017,"STRAY","DIED","SCAN NO CHIP",0
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"DOG",10,2016,"CONFISCATED","EUTHANIZED","UNABLE TO SCAN",16
"DOG",3,2017,"CONFISCATED","EUTHANIZED","SCAN NO CHIP",11
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN CHIP",11
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",0
"CAT",12,2016,"OWNER SURRENDER","FOSTER","SCAN NO CHIP",3
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",24
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",8
"CAT",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",5
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",10
"DOG",8,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",19
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",4
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",52
"DOG",7,2017,"STRAY","ADOPTION","SCAN CHIP",11
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",10
"CAT",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",1,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",9
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",10
"CAT",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",11,2016,"CONFISCATED","ADOPTION","SCAN NO CHIP",21
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",12,2016,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",1
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"CAT",3,2017,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",9
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",2
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"CAT",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",11
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",14
"DOG",8,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",10,2016,"STRAY","EUTHANIZED","UNABLE TO SCAN",11
"CAT",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",5,2017,"STRAY","FOSTER","SCAN NO CHIP",4
"CAT",1,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","ADOPTION","SCAN CHIP",14
"WILDLIFE",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",6
"DOG",11,2016,"STRAY","ADOPTION","SCAN CHIP",15
"DOG",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",1,2017,"STRAY","EUTHANIZED","SCAN CHIP",27
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",31
"DOG",7,2017,"STRAY","FOSTER","SCAN NO CHIP",0
"DOG",1,2017,"STRAY","ADOPTION","SCAN CHIP",15
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"DOG",4,2017,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",0
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",1
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"CAT",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",11,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN CHIP",9
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",2
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",1
"CAT",2,2017,"STRAY","FOSTER","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",2,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",4
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",3
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",4
"CAT",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",13
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"CAT",4,2017,"STRAY","FOSTER","UNABLE TO SCAN",2
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",18
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",2
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",6
"CAT",8,2017,"STRAY","DIED","SCAN CHIP",5
"DOG",1,2017,"STRAY","DIED","SCAN NO CHIP",7
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",6
"DOG",7,2017,"CONFISCATED","RETURNED TO OWNER","SCAN NO CHIP",12
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",7,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",27
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",4,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"CAT",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",16
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",7,2017,"STRAY","ADOPTION","SCAN CHIP",67
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",16
"CAT",9,2017,"STRAY","DIED","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"STRAY","ADOPTION","SCAN CHIP",10
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",6
"CAT",9,2017,"OWNER SURRENDER","FOSTER","SCAN NO CHIP",2
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",13
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",3
"DOG",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"CAT",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",2
"DOG",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",10
"DOG",1,2017,"STRAY","ADOPTION","SCAN NO CHIP",15
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",2,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",15
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",1,2017,"CONFISCATED","ADOPTION","SCAN NO CHIP",13
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",10,2016,"CONFISCATED","RETURNED TO OWNER","SCAN CHIP",10
"CAT",1,2017,"OWNER SURRENDER","ADOPTION","UNABLE TO SCAN",4
"DOG",6,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",8,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",8
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",9
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",10,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",13
"DOG",11,2016,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",9
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",9,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",6
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",1
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",14
"CAT",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","ADOPTION","SCAN CHIP",2
"DOG",7,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",1
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",3
"DOG",12,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",1
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",17
"CAT",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",10
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",4,2017,"STRAY","RETURNED TO OWNER","UNABLE TO SCAN",0
"DOG",9,2017,"STRAY","ADOPTION","SCAN CHIP",13
"CAT",10,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",26
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",0
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",1,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"CAT",4,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",12,2016,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",0
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"DOG",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",1
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",3
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",12,2016,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",1
"DOG",10,2016,"STRAY","ADOPTION","SCAN CHIP",24
"DOG",2,2017,"OWNER SURRENDER","RETURNED TO OWNER","SCAN NO CHIP",2
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN CHIP",5
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",10
"DOG",3,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",7,2017,"STRAY","ADOPTION","SCAN NO CHIP",11
"CAT",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",9,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",8
"DOG",5,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",25
"DOG",5,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",6,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",7
"DOG",12,2016,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",7,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"DOG",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",15
"DOG",11,2016,"STRAY","EUTHANIZED","SCAN CHIP",12
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",1
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",5
"DOG",6,2017,"STRAY","ADOPTION","SCAN NO CHIP",16
"DOG",2,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",4
"CAT",4,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",3,2017,"STRAY","FOSTER","SCAN NO CHIP",3
"DOG",12,2016,"STRAY","EUTHANIZED","UNABLE TO SCAN",0
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",8,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"CAT",8,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"CAT",10,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",5
"CAT",5,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",12
"DOG",6,2017,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",3,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",13
"CAT",9,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",0
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",0
"DOG",11,2016,"STRAY","RETURNED TO OWNER","SCAN NO CHIP",0
"DOG",6,2017,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",3
"DOG",1,2017,"OWNER SURRENDER","EUTHANIZED","SCAN CHIP",0
"DOG",1,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",8
"DOG",7,2017,"OWNER SURRENDER","EUTHANIZED","SCAN NO CHIP",1
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",19
"DOG",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",5,2017,"STRAY","RETURNED TO OWNER","SCAN CHIP",4
"DOG",9,2017,"STRAY","ADOPTION","SCAN NO CHIP",5
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN NO CHIP",2
"CAT",3,2017,"STRAY","EUTHANIZED","UNABLE TO SCAN",0
"DOG",10,2016,"OWNER SURRENDER","RETURNED TO OWNER","SCAN CHIP",1
"DOG",2,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"CAT",4,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",2,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",15
"DOG",3,2017,"STRAY","ADOPTION","SCAN NO CHIP",4
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",4
"DOG",10,2016,"STRAY","ADOPTION","SCAN CHIP",12
"DOG",5,2017,"OWNER SURRENDER","ADOPTION","SCAN CHIP",1
"CAT",11,2016,"STRAY","ADOPTION","SCAN NO CHIP",9
"DOG",12,2016,"OWNER SURRENDER","ADOPTION","SCAN CHIP",2
"DOG",3,2017,"STRAY","EUTHANIZED","SCAN NO CHIP",5
"DOG",10,2016,"STRAY","ADOPTION","SCAN NO CHIP",6
